Date,Soy oil
6/2/2014,38.31
6/3/2014,38.35
6/4/2014,39.25
6/5/2014,38.69
6/6/2014,39.39
6/9/2014,39.66
6/10/2014,39.32
6/11/2014,38.8
6/12/2014,38.96
6/13/2014,40.07
6/16/2014,39.88
6/17/2014,40.06
6/18/2014,40.51
6/19/2014,40.99
6/20/2014,40.51
6/23/2014,41.06
6/24/2014,41.35
6/25/2014,41.03
6/27/2014,40.36
6/30/2014,39.23
7/1/2014,39.25
7/2/2014,38.85
7/3/2014,38.94
7/4/2014,38.94
7/7/2014,38.74
7/8/2014,38.18
7/10/2014,38.23
7/11/2014,37.52
7/14/2014,37.63
7/15/2014,37.65
7/16/2014,37.58
7/17/2014,37.12
7/18/2014,37.32
7/21/2014,36.89
7/22/2014,36.68
7/24/2014,36.99
7/25/2014,36.84
7/28/2014,37.27
7/29/2014,37
7/30/2014,37.05
7/31/2014,37.11
8/1/2014,36.45
8/4/2014,37.15
8/5/2014,36.6
8/6/2014,36.61
8/7/2014,36.45
8/8/2014,36.27
8/11/2014,35.67
8/12/2014,35.39
8/13/2014,35.23
8/14/2014,34.76
8/15/2014,34.12
8/18/2014,34.21
8/19/2014,33.91
8/20/2014,34.36
8/21/2014,34.28
8/22/2014,33.86
8/25/2014,34.22
8/26/2014,34.53
8/27/2014,34.17
8/28/2014,34.14
8/29/2014,33.54
9/2/2014,33.51
9/3/2014,33.23
9/4/2014,33.47
9/5/2014,33.85
9/8/2014,33.53
9/9/2014,33.09
9/10/2014,33.38
9/11/2014,33.25
9/12/2014,34.3
9/15/2014,35.02
9/16/2014,34.56
9/17/2014,35.14
9/18/2014,34.47
9/19/2014,34.21
9/22/2014,33.75
9/23/2014,33.98
9/24/2014,34.37
9/25/2014,34.37
9/26/2014,33.67
9/29/2014,34.54
9/30/2014,34.02
10/1/2014,34.66
10/2/2014,34.67
10/3/2014,34.29
10/6/2014,35.32
10/7/2014,34.96
10/8/2014,34.52
10/9/2014,34.51
10/10/2014,33.94
10/14/2014,34.37
10/15/2014,33.11
10/16/2014,33.49
10/17/2014,33.15
10/20/2014,32.83
10/21/2014,32.89
10/22/2014,33.14
10/23/2014,33.67
10/24/2014,33.39
10/27/2014,33.23
10/28/2014,33.78
10/29/2014,35.18
10/30/2014,35.31
10/31/2014,35.8
11/3/2014,35.03
11/4/2014,34.07
11/5/2014,33.32
11/6/2014,33.16
11/7/2014,33.03
11/10/2014,32.99
11/12/2014,32.85
11/13/2014,32.7
11/14/2014,32.83
11/17/2014,33.08
11/18/2014,33.28
11/19/2014,33.26
11/20/2014,33.42
11/21/2014,33.44
11/24/2014,33.95
11/25/2014,34.17
11/26/2014,34.11
12/1/2014,32.85
12/2/2014,31.8
12/3/2014,32.36
12/4/2014,32.1
12/5/2014,32.51
12/8/2014,32.27
12/9/2014,32.41
12/10/2014,32.55
12/11/2014,32.82
12/12/2014,33.16
12/15/2014,33.07
12/16/2014,32.57
12/17/2014,32.32
12/18/2014,32.44
12/19/2014,32.52
12/22/2014,32.59
12/23/2014,32.77
12/24/2014,32.18
12/26/2014,32.71
12/29/2014,33.04
12/30/2014,33.14
12/31/2014,32.22
1/2/2015,32.2
1/5/2015,32.95
1/6/2015,32.94
1/7/2015,33.54
1/8/2015,34.14
1/9/2015,34.06
1/12/2015,32.98
1/13/2015,32.92
1/14/2015,32.95
1/15/2015,33.12
1/16/2015,33.52
1/20/2015,32.97
1/21/2015,32.49
1/22/2015,32.05
